"ID","variable","value"
"1","securities","1"
"2","securities","1"
"3","securities","0"
"4","securities","0"
"5","securities","0"
"6","securities","0"
"7","securities","0"
"8","securities","0"
"9","securities","0"
"10","securities","0"
"11","securities","0"
"12","securities","0"
"13","securities","1"
"14","securities","0"
"15","securities","1"
"16","securities","0"
"17","securities","0"
"18","securities","0"
"19","securities","0"
"20","securities","1"
"21","securities","0"
"22","securities","0"
"23","securities","0"
"24","securities","1"
"25","securities","0"
"26","securities","0"
"27","securities","0"
"28","securities","0"
"29","securities","0"
"30","securities","0"
"31","securities","0"
"32","securities","0"
"33","securities","0"
"34","securities","0"
"35","securities","0"
"36","securities","0"
"37","securities","0"
"38","securities","0"
"39","securities","1"
"40","securities","0"
"41","securities","1"
"42","securities","0"
"43","securities","0"
"44","securities","0"
"45","securities","0"
"46","securities","0"
"47","securities","0"
"48","securities","1"
"49","securities","0"
"50","securities","0"
"51","securities","1"
"52","securities","0"
"53","securities","0"
"54","securities","0"
"55","securities","0"
"56","securities","0"
"57","securities","1"
"58","securities","0"
"59","securities","0"
"60","securities","0"
"61","securities","1"
"62","securities","1"
"63","securities","0"
"64","securities","0"
"65","securities","0"
"66","securities","0"
"67","securities","0"
"68","securities","1"
"69","securities","0"
"70","securities","0"
"71","securities","0"
"72","securities","0"
"73","securities","0"
"74","securities","0"
"75","securities","0"
"76","securities","0"
"77","securities","0"
"78","securities","0"
"79","securities","0"
"80","securities","0"
"81","securities","0"
"82","securities","0"
"83","securities","0"
"84","securities","0"
"85","securities","0"
"86","securities","0"
"87","securities","0"
"88","securities","0"
"89","securities","0"
"90","securities","0"
"91","securities","0"
"92","securities","0"
"93","securities","0"
"94","securities","1"
"95","securities","0"
"96","securities","0"
"97","securities","0"
"98","securities","0"
"99","securities","0"
"100","securities","0"
"101","securities","0"
"102","securities","0"
"103","securities","0"
"104","securities","0"
"105","securities","0"
"106","securities","1"
"107","securities","0"
"108","securities","0"
"109","securities","0"
"110","securities","0"
"111","securities","0"
"112","securities","0"
"113","securities","0"
"114","securities","0"
"115","securities",NA
"116","securities","0"
"117","securities","0"
"118","securities","0"
"119","securities","0"
"120","securities","0"
"121","securities","0"
"122","securities","0"
"123","securities","0"
"124","securities","1"
"125","securities","0"
"126","securities","0"
"127","securities","0"
"128","securities","0"
"129","securities","1"
"130","securities","0"
"131","securities","0"
"132","securities","0"
"133","securities","0"
"134","securities","0"
"135","securities","0"
"136","securities","0"
"137","securities","0"
"138","securities","0"
"139","securities","1"
"140","securities","0"
"141","securities","0"
"142","securities","0"
"143","securities","0"
"144","securities","0"
"145","securities",NA
"146","securities","0"
"147","securities","0"
"148","securities","0"
"149","securities","0"
"150","securities","0"
"151","securities","0"
"152","securities","0"
"153","securities","0"
"154","securities","1"
"155","securities","0"
"156","securities","0"
"157","securities","0"
"158","securities","0"
"159","securities","0"
"160","securities","1"
"161","securities","0"
"162","securities","0"
"163","securities","0"
"164","securities","0"
"165","securities","1"
"166","securities","0"
"167","securities","0"
"168","securities","0"
"169","securities","0"
"170","securities","0"
"171","securities","0"
"172","securities","1"
"173","securities","0"
"174","securities","0"
"175","securities","0"
"176","securities","1"
"177","securities","0"
"178","securities","0"
"179","securities","0"
"180","securities","0"
"181","securities","0"
"182","securities","0"
"183","securities","0"
"184","securities","0"
"185","securities","1"
"186","securities","0"
"187","securities","0"
"188","securities","0"
"189","securities","0"
"190","securities","0"
"191","securities","0"
"192","securities","0"
"193","securities","0"
"194","securities","0"
"195","securities","0"
"196","securities","1"
"197","securities","0"
"198","securities","0"
"199","securities","1"
"200","securities","0"
"201","securities","0"
"202","securities",NA
"203","securities","0"
"204","securities","0"
"205","securities","0"
"206","securities","0"
"207","securities","1"
"208","securities","0"
"209","securities","0"
"210","securities","0"
"211","securities","0"
"212","securities","0"
"213","securities","0"
"214","securities","0"
"215","securities","0"
"216","securities","0"
"217","securities","0"
"218","securities","0"
"219","securities","0"
"220","securities","0"
"221","securities","0"
"222","securities","0"
"223","securities","0"
"224","securities","0"
"225","securities","0"
"226","securities","0"
"227","securities","0"
"228","securities","0"
"229","securities","1"
"230","securities","0"
"231","securities","0"
"232","securities","0"
"233","securities","0"
"234","securities","0"
"235","securities","0"
"236","securities","0"
"237","securities","0"
"238","securities",NA
"239","securities","0"
"240","securities","0"
"241","securities","0"
"242","securities","0"
"243","securities","0"
"244","securities","0"
"245","securities","0"
"246","securities","0"
"247","securities","0"
"248","securities","1"
"249","securities","0"
"250","securities","0"
"251","securities","0"
"252","securities","0"
"253","securities","0"
"254","securities","0"
"255","securities","0"
"256","securities","0"
"257","securities","0"
"258","securities","0"
"259","securities","0"
"260","securities","0"
"261","securities","0"
"262","securities","0"
"263","securities","0"
"264","securities","0"
"265","securities","0"
"266","securities","1"
"267","securities","0"
"268","securities","0"
"269","securities","0"
"270","securities","0"
"271","securities",NA
"272","securities","0"
"273","securities","0"
"274","securities","0"
