Product Id,Review Date,Reviewer,Review,Rating,Location
8127067,4/29/2013,Amy,"These shoes look like they would be incredibly uncomfortable but they are exactly the opposite For pointytoed high heels, they are crazy comfortable And sheek You wont find a better heel at this price You will also never regret buying them",NULL,"from Chicago, Illinois"
7591941,10/29/2013,MJW1,"These heeled loafers are the perfect solution to a day that doesnt end at 5 pm Theyre true to size and have just enough shine to be distinctive without being flashy, and can transition to afterwork jeans or dressier clothes easily They werent at all uncomfortable out of the box but still became even easier to wear as time went one I only wish they came in more finishes",NULL,from Philly
7966625,8/21/2013,Anonymous,"I love this bag It is super cute I love the fact it has so many pockets I like my bag to be organized and it allows me to do so Plus it is light weight, and water proof Just get the bag, it is worth it",NULL,"from Houston, TX"
7787137,5/21/2012,Anonymous,I love this! It looks as great as it does in the photo. It is highly recommend for those who love stylish watches.,NULL,from California
7646718,6/28/2012,Andrea G,NULL,NULL,NULL
7761463,11/10/2012,Joanna K,"I needed black flats to run around the city in - unfortunately these pinched my feet right out of the box. They felt SO COMFORTABLE otherwise, wish they made them in a 10.5!",NULL,from NYC
7830092,10/22/2012,Anonymous,"These shoes are very nice. Admittedly, they are a bit scary, given the thin heel and platform, but I found them stable and comfortable (for heels). I had no issues all day at work on the first wear, aside from a little bit of rubbing on the left side (but I have bony feet, so it might just hit me oddly). I did have some discomfort (achy toebox) after a long wedding, but I think that was mostly tired feet from dancing on an unforgiving floor. ;)",NULL,"from Cleveland, OH"
8089593,5/19/2013,Anonymous,"Disagree with the previous comment These shoes are absolutely comfortable, I own them in both colors Stylish, chic, true to size, I can wear them all day long",NULL,NULL
8051444,1/17/2013,Anonymous,"Really nice looking bootie however, hard to get your foot into and not very comfortable For this price, I thought I would get my everyday go to bootbut thats not the case, they are getting returned",NULL,"from San Diego, CA"
7907550,4/27/2012,Anonymous,"I'm in love with this bag. I have it in the dark sand (print as shown) & everyone, including men, want to touch it & when I first saw my friends there was a quiet ""ooohhh"" that came over the group. Definitely stood out but in a good way. Very classy & the pockets are unbelievable! Great way to keep things in order but you can carry a ton in this thing. I hate to trade it out to wear other purses & I can wear it all year long. I definitely recommend this purse!",1,from just outside of Chicago
7439207,4/29/2012,Anonymous,I love these shoes. The MK is subtle and blends in nicely with the shoe. They're very comfortable and true to size. Worth every penny.,1,from New York
7966602,5/3/2013,Anonymous,"To comment on an earlier post, it is made of Saffiano leather not vinyl I just bought this in hot pink The color is gorgeous It is a tad heavy, but willing to lift the extra ounce or two",NULL,"from Chicago, IL"
