PROD,"('2012-08-30', 'AVGPRICE')","('2012-10-10', 'AVGPRICE')","('2012-11-01', 'AVGPRICE')","('2012-11-30', 'AVGPRICE')","('2013-01-01', 'AVGPRICE')","('2013-02-01', 'AVGPRICE')","('2013-03-01', 'AVGPRICE')","('2013-04-01', 'AVGPRICE')","('2013-05-01', 'AVGPRICE')","('2013-06-01', 'AVGPRICE')","('2013-07-01', 'AVGPRICE')","('2013-08-01', 'AVGPRICE')"
P0013,18.0,10.5,18.0,18.0,10.5,18.0,18.0,18.0,18.0,10.5,18.0,18.0
P0096,4.5,4.5,4.5,4.5,6.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0
P0109,4.0,4.0,4.0,,,,,,,4.0,,
P0241,17.0,,17.0,17.0,,,,,,,,
P0402,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
P0411,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,16.0,16.0,
P0414,16.0,16.0,,16.0,16.0,16.5,17.0,17.0,16.5,16.5,16.5,16.5
P0417,9.5,9.5,16.0,16.0,9.5,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P0420,5.0,5.0,5.0,5.0,5.0,,,,,,,
P102921,18.0,18.0,,,18.0,,,,,18.0,,
P102922,18.0,,,,18.0,,,18.0,,18.0,,
P104340,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P107319,,,,,,,,,,,,16.0
P107406,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0
P110010,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P110012,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P111902,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P114407,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P114417,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P114418,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P115219,5.0,5.0,5.0,5.0,,,,,,,,
P119827,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,
P12045,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P12207,,,,,8.0,,,,,8.0,,
P122626,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122644,,,,,,,,,15.0,15.0,15.0,15.0
P122646,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
P122651,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75
P122659,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122661,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P122663,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
P122670,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P122675,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P122682,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P122684,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P122685,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122690,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122692,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
P122694,16.5,16.5,16.5,,,,,,16.5,16.5,16.5,16.5
P122707,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
P122710,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
P122718,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P122722,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122732,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P122733,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122735,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P122739,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
P122751,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122761,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
P122762,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P122763,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P122764,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122765,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122770,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P122772,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P122811,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P122812,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P122818,19.5,,,,,,,,,,19.5,
P12282,,,,,6.0,,,,,,,
P122834,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P122838,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,
P122849,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
P122866,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P122868,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P12287,4.5,4.5,4.5,4.5,4.5,4.5,,4.5,,4.5,,
P122876,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75
P122881,,,,,,,17.75,17.75,17.75,,17.75,17.75
P122882,,,,,,,,17.75,17.75,,17.75,17.75
P122886,,,,,,,,,,,,19.5
P122889,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
P122891,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,
P122900,,,,,,,,,19.5,19.5,19.5,
P122912,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P122914,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P12340,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P12343,14.0,14.0,14.0,,14.0,14.0,,,,14.0,,
P124914,,,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P12573,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
P12577,19.0,19.0,19.0,19.0,19.0,,,,,,,
P126001,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P126302,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
